match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner,winner_id,win_1_2,winner_0_1,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,Average Strike Rate of Top 5 for team 1,Average Batting Average of Top 5 for team 1,Average Strike Rate of Top 5 for team 2,Average Batting Average of Top 5 for team 2,Average Economy of Bottom 5 Bowlers for team 1,Average Strike Rate of Bottom 5 Bowlers for team 1,Average Economy of Bottom 5 Bowlers for team 2,Average Strike Rate of Bottom 5 Bowlers for team 2,bowling1,bowling2,batting1,batting2,random,Unnamed: 36,random2,top5_batsmen_score_T1,top5_batsmen_score_T2,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,aadb,Unnamed: 45,score_ratio,Unnamed: 47,scoreinf,Unnamed: 49,more_boundary_1or2,Unnamed: 51,impact_score_ratio,Unnamed: 53,team1_count_50runs_last15,team2_count_50runs_last15,team1_winp_last5,team2_winp_last5,team1only_avg_runs_last15.1,team2only_avg_runs_last15,Total Wickets Taken by Team 1,Total Wickets Taken by Team 2,More Wickets Taken,result,pitch_type,Unnamed: 65,team1_win_team_score_last5,team2_win_team_score_last5,Unnamed: 68,hhhhh,Unnamed: 70,a1,b1,c1,d1,Unnamed: 75,overall_batting_again,overall_bowl_again,Unnamed: 78,bowling_khichadi,Unnamed: 80,kuchbhi,Unnamed: 82,todu1,todu2,Unnamed: 85,todu,Unnamed: 87,toss_adv,Unnamed: 89,friendly_to_ground,Unnamed: 91,new_toss_adv,Unnamed: 93,pom1,pom2,Unnamed: 96,top5_total_runs_T1,top5_average_strike_rate_T1,top5_batting_average_T1,top5_total_wickets_T1,top5_bowling_average_T1,top5_bowling_strike_rate_T1,top5_economy_T1,top5_bowling_dot_percentage_T1,top5_total_runs_T2,top5_average_strike_rate_T2,top5_batting_average_T2,top5_total_wickets_T2,top5_bowling_average_T2,top5_bowling_strike_rate_T2,top5_economy_T2,top5_bowling_dot_percentage_T2,Unnamed: 113,team1_score,team2_score,Unnamed: 116,acha1,acha2,achaa,batting_net,bowling_net,pom_net,Average Economy of Bottom 5 Bowlers for team net,Average Batting Average of Top 5 for team,,,,,final_day
9331181,Ba,11283,9373356.0:7857520.0:4232164.0:4566540.0:3299407.0:232000.0:7883504.0:8725723.0:7878989.0:2526390.0:8725730.0:4017523.0,Hl Ph,12634,3500958.0:4231751.0:2735081.0:2035102.0:3698337.0:5058192.0:6844718.0:4566526.0:6596582.0:4161975.0:7952804.0:8465057.0,Hl Ph,12634,2,1,Hl Ph,field,Hr Ct Sm Ie,Indore,20-10-2022,day/night match,Sd Mq Ai Ty,2022/23,7398,1.666666667,0.672131148,139,100,157.1785714,110.6627431,19.42777778,91.21312796,20.10185185,7.063690917,8.905081487,6.844736842,8.739035088,4.972875226,5.691056911,1.104972376,1.068345324,1.126003736,,0.873805218,46.18060293,27.97086693,,,201.8758711,39.52962963,5.106950734,,1.752963351,,2.309284903,,1,,1,,4,2,80,80,144.8666667,142.6666667,63,38,1,1,1,,0,0,,1,,1.21323263,0.966467066,1.031988677,1.019000542,,2.179699696,2.050989218,,0.873805218,,2.647398333,,0,0,,0,,1,,1,,0.5,,0,0,,688,553.3137153,97.13888889,55,0,0,0,201.8862221,484,273.6393839,60.30555556,35,0,0,0,86.42857143,,764.8027669,331.1859727,,845.5572558,365.7574013,2.311798074,1,2,2,1,2,,,,,1.745781914
8797060,Ed,20,2089079.0:6139370.0:2076192.0:62432.0:2083409.0:172199.0:2022957.0:1482998.0:1711492.0:4507208.0:3231437.0,Wt Is,41,4690258.0:4069666.0:4230127.0:1942317.0:1613926.0:2740408.0:4739552.0:5744850.0:4690104.0:3715697.0:3468870.0,Ed,20,1,0,Wt Is,field,Kn Ol Bn Bs,Bridgetown,23-01-2022,day/night match,Ed tr of Wt Is,2021/22,1406,1.285714286,1.952380952,156,50,103.5,133.2352208,24.61366134,162.6257213,26.59084249,6.923631832,7.289690687,6.908409971,7.341805125,6.912181303,5.453563715,1.176558978,1.261651676,1.002707135,,1.267461364,68.23097743,68.9820407,,,295.8609421,51.20450383,5.778025759,,0.965841188,,1.382245155,,1,,2.846153846,,8,6,60,20,175.4,176.8666667,87,106,2,0,0,,0,0,,1,,0.819275203,0.925644283,1.002203381,0.992901686,,1.744919486,1.995105067,,1.267461364,,2.331260706,,1,2,,2,,2,,1,,0,,27,15,,1495,666.1761038,123.0683067,104,0,0,0,183.1475455,1361,813.1286064,132.9542125,85,0,0,0,196.6715336,,3233.685756,2339.44445,,3446.944774,2503.113063,1.377063156,2,1,1,1,2,,,,,1.06313957
9433269,We,10576,3298427.0:2288789.0:7773338.0:3519011.0:3681957.0:7671313.0:5320118.0:2922611.0:7184232.0:7661996.0:6240632.0,Ne,8987,4003390.0:1749075.0:1626526.0:4172447.0:5516720.0:7328110.0:125915.0:130437.0:7507303.0:4420828.0:5652828.0,We,10576,1,0,Ne,field,Tt Be Nm,Nottingham,02-06-2023,day/night match,Vy Bt,2023,251,0.857142857,0.672131148,173.2666667,0,154.3333333,143.7451454,31.72,148.1466945,29.64505495,7.06464365,9.850427207,7.320936524,7.873494532,5.192982456,5.425101215,1.287878788,1.284524636,1.007134942,,0.95721393,75.48424205,78.05247254,,,291.8918399,61.36505495,4.756645947,,0.946144057,,0.494076179,,2,,0.198675497,,11,13,40,60,168.1333333,167.8,86,77,1,1,1,,0,0,,1,,0.970289252,1.069992957,0.964991791,1.25108707,,2.040282209,2.216078862,,0.95721393,,2.655830753,,1,1,,0,,1,,1,,0.5,,7,35,,1586,718.725727,158.6,70,0,0,0,193.6403388,1720,740.7334726,148.2252747,66,0,0,7.541666667,163.4940622,,1850.960375,3746.305638,,1968.416511,3991.703263,0.493126964,1,2,2,2,1,,,,,1.002833551
9587073,Ga An Ws,36084,8127230.0:4690328.0:4069666.0:7960847.0:4690188.0:4739580.0:4739552.0:5744850.0:2294823.0:9266102.0:284339.0,Bs Rs,36070,3462080.0:2436405.0:1798705.0:7550857.0:5742470.0:2740408.0:3575774.0:3200756.0:334963.0:6399210.0:6347494.0,Ga An Ws,36084,1,0,Ga An Ws,bat,Bn La Sm Ta Td,Tarouba,10-09-2023,day match,Cn Pr Le,2023,14300,2.166666667,1.975609756,164.2666667,50,144.25,158.109494,35.17913753,140.435915,21.47619048,6.706303203,8.34700555,7.128402361,7.905992874,6.403013183,5.736842105,1.350111029,1.245581395,1.169900218,,1.116121564,83.35292899,68.33774282,,,298.545409,56.65532801,5.26950279,,1.268886536,,0.832208021,,2,,0.590945195,,12,5,20,80,158.2,166.8666667,94,115,2,0.5,0,,0,0,,1,,1.125848,1.638052967,0.940786289,1.055782074,,2.763900967,1.996568362,,1.116121564,,2.994476646,,7,5,,1,,1,,1,,0.5,,15,27,,2021,790.5474699,175.8956876,88,12,9,5.636363636,206.2577317,1286,702.179575,107.3809524,90,29.375,22.57,14.02535421,218.7012647,,2872.089064,3451.167247,,3064.592156,3698.647753,0.82857097,1,1,2,2,1,,,,,1.104660232
9516457,Pb Ks,30407,8127181.0:197658.0:4239038.0:2398346.0:5053082.0:4640824.0:5038046.0:8180500.0:2035102.0:3851518.0:7881845.0:7453697.0,Gt Ts,48341,1958683.0:7491224.0:8059029.0:4377610.0:2252452.0:2966879.0:5554254.0:4690230.0:3373285.0:3759846.0:6496482.0,Gt Ts,48341,2,1,Gt Ts,field,Pb Ct An IS Ba Sm Mi Ch,Chandigarh,13-04-2023,night match,In Pr Le,2023,7118,0.818181818,1.327868852,164.6666667,0,189,138.9828242,31.21666667,135.6992451,34.79558775,6.848313771,8.15823291,6.683504742,7.193487908,5.704534373,4.672364672,1.22190408,1.226415094,1.018228609,,1.220909491,78.82500589,76.32083126,,,274.6820693,66.01225442,4.161076935,,1.001896989,,0.714268653,,1,,0.527310924,,8,10,0,60,169.0666667,173.7333333,109,99,1,1,1,,0,0,,1,,1.024197475,0.897144399,1.024659073,1.134113661,,1.921341874,2.158772734,,1.220909491,,2.544135859,,1,5,,2,,1,,0,,0.5,,22,24,,1865,694.9141209,156.0833333,97,0,0,0,213.6298707,1891,678.4962254,173.9779387,76,0,0,0,203.1681356,,2616.853042,3663.68177,,2817.30499,3889.949024,0.724252419,2,1,2,1,2,,,,,1.076932933
9457412,Ka Ts,42573,393371.0:1594347.0:9470873.0:7960847.0:4403426.0:2614779.0:305143.0:4403503.0:4731628.0:2436356.0:2436776.0,Cm Cs,40424,7864009.0:4502392.0:6551978.0:2820957.0:2804122.0:3125506.0:8072056.0:7084972.0:2875354.0:6149268.0:393182.0,Cm Cs,40424,2,1,Cm Cs,field,Se Ba Nl Sm Mr,Dhaka,09-01-2023,night match,Bh Pr Le,2022/23,14188,1,1,158.4444444,50,147.9333333,114.6284758,24.4021978,123.0169861,22.08736264,6.651818837,8.598804276,7.043809524,10.51984127,4.953338119,5.454545455,1.09279476,1.151633987,1.032229634,,0.908111988,52.1045278,55.57297938,,,237.6454619,46.48956044,5.111802728,,1.070204484,,1.292893105,,2,,0.495238095,,5,5,20,40,161.7777778,154.4615385,82,39,1,0.5,0,,0,0,,1,,0.931810146,1.104803602,0.944349619,0.817389165,,2.036613748,1.761738784,,0.908111988,,2.380842207,,4,4,,0,,1,,0,,0.5,,7,7,,1039,573.1423789,122.010989,69,0,0,0,211.7892295,952,615.0849307,110.4368132,48,0,0,0,203.8203463,,1258.624985,973.495009,,1398.340677,1110.023147,1.259740105,2,2,2,2,1,,,,,1.140318265
9292548,Aa,27,7537004.0:37351.0:1870357.0:2275195.0:4635658.0:6249256.0:1611364.0:5788320.0:3429236.0:2656541.0:2018001.0,Ia,55,2954769.0:238727.0:1776627.0:3125562.0:4377610.0:210328.0:3882850.0:2733380.0:2282125.0:4377694.0:3011735.0,Ia,55,2,1,Ia,field,Rv Gi Il Sm Ul Hd,Hyderabad,25-09-2022,night match,Aa tr of Ia,2022,13880,0.7,1.487804878,141.4,50,,174.3261979,29.27051948,148.9729874,40.43857143,7.254427128,7.581065699,6.753731099,7.059168674,5.145530146,5.309734513,1.378494624,1.315648086,0.929255076,,0.969074844,79.11548357,89.08461055,,,323.2991853,69.70909091,4.637833905,,0.927969416,,1.004313327,,2,,1.225,,13,19,80,80,169.8666667,180.1333333,88,94,2,0,0,,0,0,,1,,1.170186629,0.723826744,1.07413621,1.073931797,,1.894013372,2.148068007,,0.969074844,,2.519949496,,4,6,,2,,2,,1,,0,,26,33,,1723,871.6309897,146.3525974,84,0,0,6.60518732,195.2162487,2320,744.8649371,202.1928571,96,0,0,6.094637224,209.4492725,,3734.043495,3718.006518,,3962.129995,3996.786227,0.991328975,1,2,2,1,2,,,,,0.854342808
9271758,Ja Ks,47501,6818622.0:5490596.0:6551978.0:4403545.0:298612.0:1634611.0:3162487.0:8067002.0:7968225.0:8072056.0:4403573.0,Ge Gs,47494,6517118.0:4403531.0:4932864.0:2214792.0:7520344.0:3364234.0:1594319.0:305143.0:2270519.0:3008179.0:6686658.0,Ja Ks,47501,1,0,Ja Ks,bat,R Pa Sm Co,Colombo,18-12-2022,day match,La Pr Le,2022/23,7041,0.909090909,1.487804878,156.1538462,40,129.9333333,147.5014556,30.68095238,140.8662072,30.16285714,5.874993038,7.562651245,6.52633752,8.702163412,5.753424658,6.190777006,1.277478862,1.188353048,1.116943868,,0.929354207,78.4389058,66.12000851,,,288.3676628,60.84380952,4.739474156,,1.207211742,,1.167799361,,1,,0.7578125,,9,10,40,60,147,152.6,87,85,1,0,0,,0,0,,1,,1.047103195,1.017176597,0.900197549,0.869054152,,2.064279792,1.769251701,,0.929354207,,2.403332885,,0,13,,2,,1,,1,,0.5,,14,9,,1756,737.5072782,153.4047619,85,13.68181818,12.63636364,6.496402878,207.3022064,1204,704.3310361,150.8142857,96,0,0,5,196.1983469,,2233.268811,1912.373722,,2386.189694,2100.853061,1.135819415,1,2,1,2,1,,,,,1.158563636
9331048,Hl Ph,12634,3500958.0:4231751.0:2735081.0:3698337.0:5058192.0:2035102.0:6844718.0:8228296.0:4566526.0:6596582.0:8465057.0:4161975.0,Sa,14860,9098571.0:227793.0:5977026.0:8442244.0:1663885.0:4192558.0:6698110.0:9009265.0:3691547.0:2733401.0:4141556.0:6785582.0,Hl Ph,12634,1,0,Sa,field,Hr Ct Sm Ie,Indore,18-10-2022,day/night match,Sd Mq Ai Ty,2022/23,7398,0.272727273,0.50617284,138.5,0,157.6923077,91.79652556,20.71957672,148.484365,38.20727273,6.69293842,8.8464971,8.835148515,8.836633663,5.691056911,5.6,1.082352941,1.385809313,0.582050652,,1.016260163,25.28985084,73.14715509,,,240.2808906,58.92684945,4.077613054,,0.425148703,,0.409765712,,2,,0,,2,10,80,0,142.6666667,173.0666667,34,27,1,1,1,,0,0,,1,,0.618223512,0.542294051,0.757535474,1.001116198,,1.160517563,1.758651673,,1.016260163,,1.80952742,,11,8,,1,,1,,1,,0.5,,0,1,,462,275.3895767,62.15873016,35,0,0,0,86.42857143,1145,742.421825,191.0363636,28,0,0,0,59.00417412,,324.618173,792.2043348,,414.1896016,860.8060044,0.481164861,2,1,2,2,2,,,,,0.640887624
9123162,Id,216,2124002.0:2123974.0:7695666.0:6729862.0:6496412.0:2436251.0:3685100.0:2921680.0:2550414.0:6496482.0:8609684.0,Ia,55,3479860.0:5043310.0:3125562.0:4377610.0:210328.0:7422673.0:3882850.0:2282125.0:4859490.0:3011735.0:8725709.0,Ia,55,2,1,Ia,field,Te Ve Me Dn,Dublin,26-06-2022,day match,Ia tr of Id,2022,6831,0.347826087,0.50617284,154.2666667,0,148.5,133.2120521,25.00714286,160.7553287,47.49166667,5.899032942,7.827195951,6.601196176,6.680587956,5.133203379,6.225099602,1.241258741,1.313469894,0.852626637,,0.824597791,67.10961334,89.26101155,,,293.9673808,72.49880953,4.054789075,,0.676575521,,0.488263501,,2,,0.261862917,,7,22,20,80,154.8,180.1333333,73,112,2,0.5,0,,0,0,,1,,0.828663368,0.526558544,0.893630909,1.171632797,,1.355221912,2.065263706,,0.824597791,,2.120052467,,8,7,,1,,2,,1,,0,,8,27,,1361,666.0602607,125.0357143,69,10.6,9.6,5.5,214.2403084,2364,803.7766435,237.4583333,114,0,0,4.478873239,227.1184504,,1612.848498,3303.233792,,1778.544621,3564.081172,0.499019112,2,2,2,2,2,,,,,0.695278004
